time,loop_coherence,mean_memory,baseline_mean_magnitude,full_law_mean_magnitude,baseline_mean_gain,full_law_mean_gain,slip_energy
4.8500,0.860733,0.003399,1.498449,1.940875,1.000000,1.290022,0.001689
4.9000,0.860371,0.003308,1.498650,1.940857,1.000000,1.290175,0.001590
4.9500,0.860024,0.003215,1.498816,1.940813,1.000000,1.290343,0.001487
5.0000,0.859684,0.003119,1.498946,1.940743,1.000000,1.290522,0.001382
5.0500,0.859341,0.003020,1.499042,1.940647,1.000000,1.290710,0.001278
5.1000,0.858985,0.002920,1.499102,1.940524,1.000000,1.290902,0.001183
5.1500,0.858603,0.002819,1.499126,1.940372,1.000000,1.291091,0.001104
5.2000,0.858183,0.002721,1.499113,1.940188,1.000000,1.291266,0.001054
5.2500,0.857710,0.002629,1.499060,1.939967,1.000000,1.291416,0.001049
5.3000,0.857168,0.002549,1.498964,1.939702,1.000000,1.291522,0.001111
5.3500,0.856538,0.002488,1.498822,1.939384,1.000000,1.291560,0.001268
5.4000,0.855800,0.002456,1.498629,1.939001,1.000000,1.291499,0.001556
5.4500,0.854933,0.002467,1.498379,1.938539,1.000000,1.291299,0.002018
5.5000,0.853914,0.002538,1.498068,1.937979,1.000000,1.290909,0.002710
5.5500,0.852715,0.002690,1.497686,1.937298,1.000000,1.290265,0.003699
5.6000,0.851310,0.002951,1.497225,1.936467,1.000000,1.289289,0.005062
5.6500,0.849669,0.003355,1.496676,1.935452,1.000000,1.287884,0.006893
5.7000,0.847758,0.003942,1.496027,1.934210,1.000000,1.285935,0.009299
5.7500,0.845544,0.004762,1.495267,1.932693,1.000000,1.283310,0.012404
5.8000,0.842988,0.005870,1.494379,1.930841,1.000000,1.279855,0.016344
5.8500,0.840051,0.007335,1.493351,1.928588,1.000000,1.275398,0.021271
5.9000,0.836690,0.009233,1.492164,1.925857,1.000000,1.269753,0.027349
5.9500,0.832861,0.011651,1.490799,1.922559,1.000000,1.262725,0.034751
6.0000,0.828516,0.014684,1.489237,1.918601,1.000000,1.254118,0.043656
6.0500,0.823605,0.018439,1.487455,1.913878,1.000000,1.243747,0.054242
6.1000,0.818078,0.023029,1.485431,1.908283,1.000000,1.231447,0.066682
6.1500,0.811880,0.028574,1.483138,1.901704,1.000000,1.217092,0.081135
6.2000,0.804956,0.035197,1.480551,1.894031,1.000000,1.200606,0.097734
6.2500,0.797252,0.043022,1.477642,1.885160,1.000000,1.181973,0.116582
6.3000,0.788712,0.052170,1.474381,1.874995,1.000000,1.161243,0.137735
6.3500,0.779281,0.062753,1.470739,1.863455,1.000000,1.138538,0.161194
6.4000,0.768907,0.074870,1.466686,1.850473,1.000000,1.114043,0.186890
6.4500,0.757542,0.088601,1.462191,1.836006,1.000000,1.088000,0.214679
6.5000,0.745142,0.103999,1.457225,1.820029,1.000000,1.060695,0.244329
6.5500,0.731671,0.121086,1.451758,1.802541,1.000000,1.032440,0.275512
6.6000,0.717100,0.139846,1.445763,1.783563,1.000000,1.003561,0.307803
6.6500,0.701414,0.160215,1.439215,1.763137,1.000000,0.974384,0.340678
6.7000,0.684609,0.182084,1.432090,1.741323,1.000000,0.945223,0.373518
6.7500,0.666698,0.205285,1.424371,1.718199,1.000000,0.916374,0.405619
6.8000,0.647708,0.229596,1.416043,1.693857,1.000000,0.888109,0.436205
6.8500,0.627690,0.254738,1.407097,1.668402,1.000000,0.860673,0.464450
6.9000,0.606713,0.280374,1.397529,1.641948,1.000000,0.834284,0.489499
6.9500,0.584870,0.306118,1.387343,1.614617,1.000000,0.809134,0.510504
7.0000,0.562275,0.331537,1.376549,1.586535,1.000000,0.785389,0.526653
7.0500,0.539065,0.356164,1.365165,1.557834,1.000000,0.763193,0.537208
7.1000,0.515401,0.379508,1.353217,1.528644,1.000000,0.742669,0.541543
7.1500,0.491465,0.401069,1.340738,1.499099,1.000000,0.723922,0.539179
7.2000,0.467456,0.420357,1.327771,1.469330,1.000000,0.707041,0.529822
7.2500,0.443591,0.436904,1.314366,1.439466,1.000000,0.692099,0.513387
7.3000,0.420101,0.450290,1.300579,1.409633,1.000000,0.679160,0.490027
7.3500,0.397225,0.460158,1.286475,1.379955,1.000000,0.668276,0.460141
7.4000,0.375209,0.466231,1.272126,1.350550,1.000000,0.659490,0.424383
7.4500,0.354299,0.468330,1.257607,1.321531,1.000000,0.652834,0.383651
7.5000,0.334739,0.466386,1.243002,1.293010,1.000000,0.648334,0.339072
7.5500,0.316766,0.460452,1.228394,1.265089,1.000000,0.646005,0.291966
7.6000,0.300604,0.450705,1.213874,1.237870,1.000000,0.645848,0.243809
7.6500,0.286464,0.437448,1.199531,1.211447,1.000000,0.647851,0.196183
7.7000,0.274537,0.421108,1.185457,1.185910,1.000000,0.651980,0.150709
7.7500,0.264994,0.402220,1.171744,1.161345,1.000000,0.658171,0.108996
7.8000,0.257981,0.381420,1.158482,1.137832,1.000000,0.666327,0.072565
7.8500,0.253617,0.359418,1.145759,1.115446,1.000000,0.676302,0.042791
7.9000,0.251995,0.336981,1.133660,1.094256,1.000000,0.687888,0.020843
7.9500,0.253178,0.314902,1.122263,1.074323,1.000000,0.700805,0.007629
8.0000,0.257196,0.293975,1.111644,1.055701,1.000000,0.714683,0.003759
8.0500,0.264051,0.274965,1.101870,1.038433,1.000000,0.729057,0.009516
8.1000,0.273709,0.258578,1.093000,1.022549,1.000000,0.743363,0.024839
8.1500,0.286106,0.245440,1.085084,1.008063,1.000000,0.756950,0.049326
8.2000,0.301144,0.236070,1.078164,0.994967,1.000000,0.769117,0.082251
8.2500,0.318695,0.230862,1.072268,0.983232,1.000000,0.779164,0.122593
8.3000,0.338597,0.230073,1.067416,0.972802,1.000000,0.786467,0.169080
8.3500,0.360661,0.233814,1.063615,0.963594,1.000000,0.790566,0.220241
8.4000,0.384670,0.242048,1.060860,0.955504,1.000000,0.791226,0.274466
8.4500,0.410384,0.254591,1.059137,0.948410,1.000000,0.788476,0.330077
8.5000,0.437542,0.271128,1.058420,0.942182,1.000000,0.782597,0.385386
8.5500,0.465867,0.291218,1.058674,0.936689,1.000000,0.774067,0.438764
8.6000,0.495074,0.314322,1.059859,0.931814,1.000000,0.763487,0.488701
8.6500,0.524871,0.339818,1.061923,0.927453,1.000000,0.751500,0.533853
8.7000,0.554968,0.367025,1.064814,0.923520,1.000000,0.738726,0.573086
